locus_tag	ftype	length_bp	gene	EC_number	COG	product
MBHKAFJI_00001	CDS	2007	mnmC		COG0665	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC
MBHKAFJI_00002	CDS	1221	fabB	2.3.1.41	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 1
MBHKAFJI_00003	CDS	1179	yfcJ			putative MFS-type transporter YfcJ
MBHKAFJI_00004	CDS	996	flk			Flagellar regulator flk
MBHKAFJI_00005	CDS	1137	pdxB	1.1.1.290	COG0111	Erythronate-4-phosphate dehydrogenase
MBHKAFJI_00006	CDS	1014	usg		COG0136	USG-1 protein
MBHKAFJI_00007	CDS	813	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
MBHKAFJI_00008	CDS	660	dedA		COG0586	Protein DedA
MBHKAFJI_00009	CDS	915	accD	2.1.3.15	COG0777	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
MBHKAFJI_00010	CDS	1269	folC	6.3.2.12	COG0285	Dihydrofolate synthase/folylpolyglutamate synthase
MBHKAFJI_00011	CDS	663	dedD			Cell division protein DedD
MBHKAFJI_00012	CDS	489	cvpA		COG1286	Colicin V production protein
MBHKAFJI_00013	CDS	1518	purF	2.4.2.14	COG0034	Amidophosphoribosyltransferase
MBHKAFJI_00014	CDS	570	ubiX	2.5.1.129	COG0163	Flavin prenyltransferase UbiX
MBHKAFJI_00015	CDS	783	argT		COG0834	Lysine/arginine/ornithine-binding periplasmic protein
MBHKAFJI_00016	CDS	783	hisJ		COG0834	Histidine-binding periplasmic protein
MBHKAFJI_00017	CDS	687	hisQ		COG4215	Histidine transport system permease protein HisQ
MBHKAFJI_00018	CDS	717	hisM		COG4160	Histidine transport system permease protein HisM
MBHKAFJI_00019	CDS	774	hisP		COG4598	Histidine transport ATP-binding protein HisP
MBHKAFJI_00020	CDS	891				ISNCY family transposase ISRor2
MBHKAFJI_00021	CDS	894				Epimerase family protein
MBHKAFJI_00022	CDS	363	folX	5.1.99.7	COG1539	Dihydroneopterin triphosphate 2'-epimerase
MBHKAFJI_00023	CDS	648	yfcG	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YfcG
MBHKAFJI_00024	CDS	645	yfcF	2.5.1.18	COG0625	Glutathione S-transferase YfcF
MBHKAFJI_00025	CDS	552	yfcE	3.1.4.-	COG0622	Phosphodiesterase YfcE
MBHKAFJI_00026	CDS	543	yfcD	3.6.-.-		putative Nudix hydrolase YfcD
MBHKAFJI_00027	CDS	1521				hypothetical protein
MBHKAFJI_00028	CDS	2145	pta	2.3.1.8	COG0280	Phosphate acetyltransferase
MBHKAFJI_00029	CDS	1203	ackA	2.7.2.1	COG0282	Acetate kinase
MBHKAFJI_00030	CDS	456				hypothetical protein
MBHKAFJI_00031	CDS	495				hypothetical protein
